GAME DATA
=======04/25/2021, 21:09:09  ----> User GAME SESSION INITIALIZE.
04/25/2021, 21:09:09  ----> User asked for new deck.
04/25/2021, 21:09:17  ----> User asked for Solution.
04/25/2021, 21:52:34  ----> User GAME SESSION INITIALIZE.
04/25/2021, 21:52:34  ----> User asked for new deck.
04/25/2021, 22:07:35  ----> User GAME SESSION INITIALIZE.
04/25/2021, 22:07:35  ----> User asked for new deck.
04/25/2021, 22:07:40  ----> User asked for Solution.
04/25/2021, 22:07:42  ----> User asked for new deck.
04/25/2021, 22:07:42  ----> User generated a new game.
04/25/2021, 22:07:43  ----> User asked for new deck.
04/25/2021, 22:07:43  ----> User generated a new game.
04/25/2021, 22:07:45  ----> User asked for new deck.
04/25/2021, 22:07:45  ----> User generated a new game.
04/25/2021, 22:07:47  ----> User asked for Solution.
04/26/2021, 07:09:47  ----> User GAME SESSION INITIALIZE.
04/26/2021, 07:09:47  ----> User asked for new deck.
04/26/2021, 07:09:51  ----> User asked for new deck.
04/26/2021, 07:09:51  ----> User generated a new game.
04/26/2021, 07:09:52  ----> User asked for Solution.
04/26/2021, 07:10:21  ----> User Shutdown Application.
04/29/2021, 12:57:09  ----> User GAME SESSION INITIALIZE.
04/29/2021, 12:57:09  ----> User asked for new deck.
04/29/2021, 12:57:12  ----> User asked for Solution.
04/29/2021, 12:57:17  ----> User Started timer.
04/29/2021, 12:57:20  ----> User reset timer.
